2026-02-04 17:49:53 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=5.00 ms | 客户端=127.0.0.1
2026-02-04 17:52:50 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=5.92 ms | 客户端=127.0.0.1
2026-02-04 17:52:53 | INFO     | app.main | 请求 | GET /api/v1/servers/ | 状态=200 | 耗时=7.23 ms | 客户端=127.0.0.1
2026-02-04 17:52:53 | INFO     | app.main | 请求 | GET /api/v1/receipts | 状态=200 | 耗时=11.16 ms | 客户端=127.0.0.1
2026-02-04 17:52:55 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.26 ms | 客户端=127.0.0.1
2026-02-04 17:52:58 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.24 ms | 客户端=127.0.0.1
2026-02-04 17:53:08 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.40 ms | 客户端=127.0.0.1
2026-02-04 17:53:11 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.17 ms | 客户端=127.0.0.1
2026-02-04 17:53:14 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.30 ms | 客户端=127.0.0.1
2026-02-04 17:53:16 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.44 ms | 客户端=127.0.0.1
2026-02-04 18:01:45 | INFO     | app.main | 请求 | GET /api/v1/servers/1 | 状态=200 | 耗时=4.83 ms | 客户端=127.0.0.1
2026-02-04 18:02:11 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.31 ms | 客户端=127.0.0.1
2026-02-05 10:27:59 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.48 ms | 客户端=127.0.0.1
2026-02-05 10:34:38 | INFO     | app.main | 请求 | GET /api/v1/servers/1 | 状态=200 | 耗时=4.57 ms | 客户端=127.0.0.1
2026-02-05 10:34:54 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.26 ms | 客户端=127.0.0.1
2026-02-05 10:35:31 | INFO     | app.main | 请求 | GET /api/v1/assets/deleted | 状态=200 | 耗时=5.71 ms | 客户端=127.0.0.1
2026-02-05 10:35:33 | INFO     | app.main | 请求 | GET /api/v1/assets/scrapped | 状态=200 | 耗时=5.95 ms | 客户端=127.0.0.1
2026-02-05 10:35:33 | INFO     | app.main | 请求 | GET /api/v1/assets/pending-scrap | 状态=200 | 耗时=5.22 ms | 客户端=127.0.0.1
2026-02-05 10:35:34 | INFO     | app.main | 请求 | GET /api/v1/assets/scrapped | 状态=200 | 耗时=4.72 ms | 客户端=127.0.0.1
2026-02-05 10:35:35 | INFO     | app.main | 请求 | GET /api/v1/assets/deleted | 状态=200 | 耗时=4.10 ms | 客户端=127.0.0.1
